microsoft.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
office.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
live.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
linkedin.com,static non blocking banner stays until action,top bar,"accept, reject","Cookies Policy, settings",,
azure.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
sharepoint.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
windows.net,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
office365.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
windows.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
cloud.microsoft,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
outlook.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
static.microsoft,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
www.gov.uk,static non blocking banner stays until action,top bar,"accept additional cookies, reject additional cookies",View cookies,,
xboxlive.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
huawei.com,static non blocking banner stays until action,top bar,,Read our privacy policy,,
gamepass.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
visualstudio.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,
service.gov.uk,static non blocking banner stays until action,top bar,"accept additional cookies, reject additional cookies",View cookies,,
